id,position,company
4,Strategic Account Development Representative - Connected Sites,Samsara
5,Mid-Market Account Development Representative,Samsara
6,"Account Development Representative, Inbound",Samsara
7,Associate District Manager,ADP
8,Sales Development Representative,Eat Club
9,Server,Eureka! Restaurant Group
10,Retail Sales Consultant,AT&T
11,Student Assistant,SJSU Marketing & Decision Sciences Department
12,Server,The Old Spaghetti Factory
13,Courtesy Clerk,Raley's
14,Data Platform + Growth Intern,Microsoft
15,IT Board Comms Team Lead,Georgia Tech Student Government Association
16,CMA Secretary/ Treasurer,College of Computing at Georgia Tech
17,President,Girls Who Code
18,Summer Immersion Program,Moody’s Analytics
19,Software Engineer,Microsoft
20,Software Engineer,Tata Consultancy Services
21,Graduate Student Assistant,"California State University, Long Beach"
22,Software Engineer Intern,Microsoft
23,Software Engineer Intern - Messenger AI/ML,Facebook
24,Software Engineer Intern - Data & Analytics (DaaS) ,Macy's
25,Assistant Coach,Arora Tennis
26,Mobile App Development Intern,Analogy Plus LLC
27,Cyber Defense Intern,Lawrence Livermore National Laboratory
28,Program Manager Intern,Microsoft
29,Product Design Intern,Zoom Video Communications
30,UX Designer,San Francisco State University
31,Director of Design,INC^3
32,Head Of Design,SF Hacks
33,Product Intern,Wingify
34,Open Source Developer,Ubuntu 
35,Machine Learning Researcher,AMISTAD Lab
36,Grader and Tutor,Harvey Mudd College
37,Software Engineering Intern,Microsoft
38,Backend Engineering Intern,TVision
39,"Math, Science and ACT tutor",Private Tutor
40,Teacher ,STEAM:CODERS
41,Research Assistant,Columbia University in the City of New York
42,Regional Manager and Evangelist of CodeDay NYC,StudentRND
43,Tutor,Columbia Tutoring and Learning Center
44,Founder & Lead Organizer,HackMann Hackathon
45,Research Intern,Columbia University in the City of New York
46,Software Engineer,Bloomberg LP
47,Youtube Vlogger,Self-Employed
48,Teaching Assistant,Carnegie Mellon University
49,Engineering Intern,Bloomberg LP
50,Student Employee,CMU Desk Services
51,Marketing Consultant Intern,SitWith
52,Consultant for CMU UMO's team,PieceMaker
53,Software Engineer,WinWing Sports Management Consulting
54,Student Assistant at OIS,University of Southern California
55,Research Assistant,Beihang University
56,Software Engineer,Lattice
57,Software Engineer,Paintzen
58,Teaching Fellow and Software Engineer,The Grace Hopper Program at Fullstack Academy
59,Systems and Sustainability Associate,National Asian Pacific American Women's Forum (NAPAWF)
60,Software Engineer,Facebook
61,Software Engineer Internship,Facebook
62,Senior Software Engineer,Samsung R&D Institute India Bangalore Pvt Ltd
63,Programmer Analyst Trainee,Cognizant Technology Solutions (CTS)
64,Student,Bais Yosef
65,Data Analyst,Vaad Hoeir of St. Louis
66,Software Engineer R&D,Bloomberg LP
67,Senior Software Engineer,Intapp
68,Software Design Engineer,Microsoft Corporation
69,Extreme Blue Intern,IBM Almaden Research Center
70,Software Engineer,Wander Travel
71,Software Engineer,Queens College
72,Software Engineer,IBM
73,Software Development Engineer,University of Nevada Reno
74,Software Developer,Productive Solutions
75,Software Engineer,Yext
76,Software Engineering Intern,Twitter
77,Peer Tutor,CMU Academic Development
78,Software Development Intern,Genetics Cognitive Tutor
79,Software Developer,BetterSpeech
80,Instructor,"Kumon North America, Inc."
81,Software Engineer,HubSpot
82,Full Stack Software Engineering Intern,Waverly & Co
83,Work Study Student,Columbia University in the City of New York
84,Frontend Web Developer,Columbia Daily Spectator
85,Software Engineering and Business Development Intern,Gooroo
86,Private Tutor,Varsity Tutors
87,Intern,Rockland Center For Arts
88,Marketing and Sound Production Intern,NV Factory Recording Studio
115,Software Engineer,Google
116,Software Development Engineer,Intel Corporation
117,Graduate Intern for High Level Geometrical Language,Intel Corporation
118,Software Engineer Intern,Lockheed Martin
119,Undergraduate Course Assistant - Computer Communication and Networking,Binghamton University
120,Library Circulation Assistant,Binghamton University
121,Undergraduate Course Assistant - Programming for Engineers,Binghamton University
122,Webmaster,Tau Beta Pi - NY Tau Chapter
123,Software Engineer,Instagram
124,Web Application Development (17-437) Teaching Assistant,Carnegie Mellon University
125,Software Engineer Intern,Facebook
126,Web Application Development (15-437) Teaching Assistant,Carnegie Mellon University
127,J2EE Web Application Development (08-672) Teaching Assistant,Carnegie Mellon University
128,Software Engineer,EnvoyNow
129,Social Media Specialist,Business Golf Academy
130,Human-Computer Interaction Research Assistant,Carnegie Mellon University
131,Human-Computer Interaction Institute Research Assistant,Carnegie Mellon University
132,SAT Math Tutor,Carnegie Pollak
133,Graduate Student Researcher,Broadridge
134,Teaching Assistant,Stony Brook University
135,Software Developer,ION
136,Software Engineer Intern,hate2wait - Intelligent Queue Management System
137,Software Engineer,Envoya
138,TutorLink ,Open Source
139,CSAnon,Open Source
140,Licensed Real Estate Salesperson,The Corcoran Group
141,Public Relations Consultant,Apress
142,Financial Analyst,Morgan Stanley Investment Management
143,Intern,Merrill Lynch
144,Software Development Engineer,Amazon
145,Software Engineer,Cerner Corporation
146,Manager,IET Incubation Center
147,Software Developer,IET Incubation Center
148,Senior Software Engineer,Blackboard Insurance 
149,Technical Lead & Senior Software Engineer,Codesmith
150,Senior Software Engineer,Codesmith
151,Software Engineering Intern,Google
152,Engineering Practicum Intern,Google
153,Rensselaer Center for Open Source,Rensselaer Polytechnic Institute
154,CS1 Teaching Assistant,Rensselaer Polytechnic Institute
155,Computer Science Summer Institute,Google
156,Student,Girls Who Code
157,Software Engineer,Frame.io
158,Software Engineer,Boost
159,Software Engineer,Nylas
160,Web Developer,Newsela
161,Software Developer,DemystData
162,Web Development Fellow,The Flatiron School
163,Paralegal/Records Manager,"Fulton, Rowe & Hart, LLP"
164,Health Center Assistant,Incarnation Summer Camp
165,Research Assistant/Intern,American Museum of Natural History
166,Risk Analyst,Morgan Stanley
167,Wealth Management Intern,Morgan Stanley
168,"Fixed Income, Currencies, and Commodities Management Summer Intern","Newedge USA, LLC"
169,Finance and Budget Summer Intern,NYC Business Integrity Commission
170,Finance Summer Intern,DataDiscoverers
171,Finance Summer Intern,"Toussaint Capital Partners, LLC"
172,Front-End Developer,NYU IT
173,Web Development Intern,Recited Verse
174,Office Management Intern,Parkeast Medical Services
191,Senior Software Engineer,Microsoft
192,Software Engineer II,Microsoft
193,Mathematics Tutor,Independent
194,Undergraduate Teaching Assistant,Brown University
195,Software Development Intern,Metryx LLC
196,First Year Students at Hillel Chairperson,Brown-RISD Hillel Programming Board
197,Legal Intern,HAUSMAN Law Group
198,Co-Founder,Peer AIDS Education Program
199,Software Development Engineer (SDE) Intern,Microsoft
200,Vice President of Cornell Data Science and Insights Subteam Member,Cornell University College of Engineering
201,Software Development Engineer (SDE) Intern,Amazon
202,Software Engineering Intern,LogMeIn
203,Engineering Intern,Maker Depot
204,Software Intern,ValueMomentum
205,Sales Associate,At Home Group Inc.
206,Sales Associate,Sodexo
207,Software Engineer Summer Intern,Microsoft
208,Google Engineering Practicum Intern,Google
209,Summer Analyst in Global Technology,Bank of America
210,Google CodeU Participant,Google
211,Summer Research Scholar: Garcia Center for Polymers at Engineered Interfaces,Stony Brook University
212,System Analyst,Momentum Solar
213,Dispatcher/Router,North American Logistics Group
214,Customer Service Representative,North American Logistics Group
215,Diagnostic Technician,Roche Molecular Systems
216,Software Engineering Intern,Squarespace
217,Teacher Assistant,Cornell University
218,Air Force Research Lab Intern,Assured Information Security (AIS)
219,Computer Science Intern,Assured Information Security (AIS)
220,Teacher Assistant,Young Scholars Liberty Partnership Program
221,Tutor ,Kumon
222,Youth Representative ,City of Utica's Youth Bureau
223,Computer Science Intern,Regional Program for Excellence
224,Software Engineer,Microsoft Leap Apprenticeship Program
225,Developer/Data Engineer,Pendo Systems
226,Instructor,Girls Who Code
227,Web Development,Whirl-i-gig
228,Machine Learning Intern,Two Sigma Ventures
229,Fellow,Springboard
230,STEM Tutor/Academic Coach,Private Prep
231,Graduate Research Assistant,Research Foundation of The City University of New York
232,Research Technician (Computational High Energy in Compact Muon Solenoid Project),Florida State University
233,Research Assistant (Physical Organic Photochemistry) ,Florida State University
234,Software Engineer Intern,Google
235,Student Ambassador,Wolfram
236,Research Assistant at the Department of Pharmacology,University of Michigan
237,Google CodeU,Google
238,Technical Intern at Lab for Stem Cells and Tissue Engineering,Columbia University in the City of New York
239,Program Explainer,New York Hall of Science
240,Teaching Assistant,HYPOTHEkids
241,Software Engineer,dutchie
