id,institution,degree,degree_type
372,,,
334," CUNY Lehman- School of Continuing Education","CCNA Certification","CCNA Certification"
380," The City College of New York","Master of Science (MS)","Computer Science"
6204,----,,
4284,.,CSTE,CSTE
3554,""junior year abroad" in Silicon Valley","on leave from Harvard","PDP-11 / RSX-11M"
6729,"(SSUGT) Siberian State University of Geosystems and Technologies","Bachelor of Science in Civil Engineering","Municipal Land Inventory"
6728,"(SSUGT) Siberian State University of Geosystems and Technologies","Bachelor of Science in Research of Natural Resources using Aerospace Technologies","Remote Sensing | GIS"
6730,"(SSUGT) Siberian State University of Geosystems and Technologies","Candidate of Sciences","Candidate of Sciences"
504,161,,
3724,"42 Silicon Valley","C Piscene","C Piscene"
3803,"42 Silicon Valley","C Programming Language Bootcamp ","Computer Programming"
3768,"42 Silicon Valley",cadet,General
3545,"42 Silicon Valley","Computer Science","Computer Science"
3756,"42 Silicon Valley","Computer Software Engineering","Computer Software Engineering"
3625,"42 Silicon Valley","Software Engineering","Software Engineering"
885,"7 City Learning",Certificate,"Quantitative Finance"
5723,"A Cloud Guru","Data Analytics Specialty","Data Analytics Specialty"
1266,"A Philip Randolph Campus High School","High School",Medicine
4784,"A. G. High School, Ahmedabad",School,"Schoolings 8th - 12th"
1222,"A.P.S, noida","CBSE Board XII & X","CBSE Board XII & X"
1527,"A+ Computer Repair Course Certificate","School Of Cooperative Technical Education","School Of Cooperative Technical Education"
5974,"Aalborg University",M.Sc.,"Software Engineering"
5977,"Aalborghus Gymnasium",Mathematics,Physics
7240,"Aalto University","Computer Science","Competitive Programming "
4250,"Aalto University","Machine learning and Data Mining","Machine learning and Data Mining"
5316,"Abu Dhabi Indian School, Abu Dhabi","Mathematics and Computer Science","Mathematics and Computer Science"
6227,"Abu Dhabi University","Bachelor of Science (BSc)","Information Systems Technology"
1781,"Academic Lyceum International House Tashkent ","High School Diploma","Exact Sciences"
2176,Academies@Englewood,Pre-Engineering,Pre-Engineering
7417,"Academy at the Lakes","High School","High School"
81,"Academy for Math, Science, and Engineering in Rockaway, NJ","2014 - 2017","2014 - 2017"
2129,"Academy MSE","2012 - 2016","2012 - 2016"
3056,"Academy of Federal Security Service of Russia","Master of Arts (M.A.)","Russian Legal Studies"
1554,"Acamica Online",Course,".NET Concurrency"
1552,"Acamica Online",Course,Express
1553,"Acamica Online",Course,MongoDB
1555,"Acamica Online",Course,React
1551,"Acamica Online ",Course,Node.js
6065,"ACAMS/CAMS Advanced Financial Crimes",CAMS,"CAMS BSA/AML"
3686,"Acharya Nagarjuna University","Bachelor of Science - BS","Computer Science"
6179,"Acharya Nagarjuna University","Bachelor's degree",cse
974,"Acharya Nagarjuna University","Bachelor's Degree","Electronics and Communications Engineering"
6684,ACLTC,"Ruby on Rails","Ruby on Rails"
6976,"Acropolis Institute of Technology and Research","Bachelor's Degree","Computer Science"
5741,"Active Listening",Communication,général
2862,"Acton-Boxborough Regional High School","2011 - 2015","2011 - 2015"
3035,"Acton-Boxborough Regional High School","High School Diploma","High School Diploma"
845,"Adarsh Vidya Mandir",SSC,SSC
6239,"Adarsha Vidya Mandir Higher Secondary School","2008 - 2012","2008 - 2012"
4174,"ADCON Technical Institute – Los Angeles, California","Microsoft MCP/MCSE certification","Microsoft MCP/MCSE certification"
3026,"Addis Ababa University","Bachelor of Science","Computer Science"
3027,"Addis Ababa University","Bachelor of Science (B.Sc.)","Computer Science"
6913,"Addis Ababa University","Electrical and Computer Engineering","Computer Engineering"
4543,"Adelphi University","Bachelor of Fine Arts (BFA)",General
1528,"Advance Culinary Arts ","School Of Cooperative Technical Education","School Of Cooperative Technical Education"
3064,"Advance Math And Science Academy Charter School",Diploma,Diploma
4037,"Ady Endre High School Budapest","High School Diploma (GCSE)","High School Diploma (GCSE)"
2410,"AECS Maaruthi Magnolia PU College ","Grades 11 and 12 ",Science
1710,"African Leadership Academy","High School","and African Studies curriculum"
6957,"After-school "School for Young Programmers","Computer Programming","Computer Programming"
754,"Agra University","Bachelor of computer applications","Computer Science"
854,"Ain Shams University","Bachelor's degree","Computer Science"
780,"Aitchison College","A Level","A Level"
1498,"Akademia Muzyczna im. Grażyny i Kiejstuta Bacewiczów w Łodzi","Bachelor of Arts - BA",General
2464,"Akdeniz University","Bachelor of Science - BS",Economics
1951,"Aksaray University","Bachelor of Science - BS","Mechanical Engineering"
2760,"Al Akhawayn University","Bachelor of Science (BS)","computer science"
5994,"Alabama Agricultural and Mechanical University","BS with honors","Commercial art"
6140,"Alabama School of Fine Arts","Mathematics and Science","Mathematics and Science"
2384,"Alcorn State University","Master's degree",General
2458,"Alexandria university","Alexandria University","Computer and Systems Engineering"
2339,"Alexandria University","Bachelor's degree","Computers and Systems Engineering"
6749,"Ali Mellah Secondary School - Ouargla","Baccalaureate Certificate","Natural Sciences"
1919,"ALICE HIGH SCHOOL","2007 - 2011","2007 - 2011"
2683,"Aligarh Muslim University",B.Sc.,Mathematics
2885,"Alma Mater Studiorum – Università di Bologna",,
4005,"Alma Mater Studiorum – Università di Bologna","Bachelor of Science (BSc)","Computer Engineering"
4002,"Alma Mater Studiorum – Università di Bologna","Master of Science (MSc)","Computer Engineering"
887,"Alvirne High School","2009 - 2013","2009 - 2013"
3913,"AMA University","Bachelor of Science - BS","Computer Engineering"
3896,"Amador Valley High School","2012 - 2016","2012 - 2016"
6094,Amazon,"AWS Solutions Architecture ","Amazon Cloude Services and Solutions"
5725,"Amazon Web Services","Data Analytics Specialty","Data Analytics Specialty"
5730,"Amazon Web Services","Solution Architect Associate","Solution Architect Associate"
277,"AMC Engineering College, Bangalore","Bachelor of Engineering (B.E.)","Computer Science"
1731,"American Academy for Girls","High School","High School/Secondary Diplomas and Certificates"
3,"American High School","High School Diploma","High School Diploma"
169,"American Jewish University","Gap Year Course Credits","Gap Year Course Credits"
1857,"American School Foundation of Guadalajara","High School","High School"
2417,"American School in London","2012 - 2016","2012 - 2016"
622,"American University in Beirut","Near and Middle Eastern Studies","Near and Middle Eastern Studies"
6052,"American University in Bulgaria",B.A.,"Business Administration"
3311,"American University in Bulgaria","Bachelor’s Degree","Computer Science"
3312,"American University in Bulgaria","Bachelor’s Degree","Information Systems"
5917,"American University of Beirut","Bachelor of Engineering (BE)","Computer and Communications Engineering"
476,"American University of Rome","2009 - 2009","2009 - 2009"
3451,"Amherst College","BA summa cum laude","Computer Science and Economics"
3138,"Amherst College","Bachelor of Arts","Clinical Psychology"
2870,"Amherst College","Bachelor of Arts (BA)",Psychology
2832,"Amherst College","Bachelor's degree","Computer Science"
4674,"Amherst College","Computer Science",Sociology
353,"Amity International School","1997 - 2010","1997 - 2010"
6211,"Amity School of Engineering and Technology, Noida","Bachelor of Technology (B.Tech.)","Computer Science and Engineering"
840,"Amity University",B.Tech,"Computer Science"
5238,"Amrita School of Business - Bangalore","Executive MBA ","IT services"
1935,"Amrita School Of Engineering",B-tech,"Computer science"
7376,"Amrita Vishwa Vidyapeetham, Coimbatore","Bachelor of Technology (B.Tech.)","Computer Science"
772,Amulakh,Ssc,Ssc
4460,"Andhra Loyola College","Bachelor of Science",Electronics
4851,"Andhra University",Bachelor,"Computer Science"
6916,"Andhra University","Bachelor of Technology (B.Tech.)","Computer Science and Engineering"
4850,"Andhra University","Master's Degree","Computer Science"
4495,"Andhra University","Masters in Computers","Computer Science"
7260,"Anhui University of Chinese Medicine","Bachelor's degree","Pharmaceutical Engineering"
5074,"Ankara Ataturk Anadolu Lisesi",,
4922,"Anna University","4-Year Bachelors in Engineering ","4-Year Bachelors in Engineering "
6734,"Anna University",B.E.,"Electrical and Electronics Engineering"
3898,"Anna University",B.Tech,"Information Technology"
2787,"Anna University","Bachelor of Engineering (B.E.)","Computer Science"
7455,"Anna University","Bachelor of Engineering (B.E.)","Electronics and Communications Engineering"
7242,"Anna University","Bachelor's Degree","Computer Science"
699,"Anna University","Bachelor's Degree","Electronics and Communications Engineering"
3286,"Anna University",BE,"Computer Science and Engineering"
5436,"Anna University",BE,"Electrical and Electronics"
7216,"Anna University ( Sengunthar Engineering College)","Bachelor of Engineering","Computer Science & Engineering"
2107,"Annapolis Area Christian School","2013 - 2017","2013 - 2017"
5000,"Antalya Anadolu Lisesi",,
6682,"Anyone Can Learn to Code Bootcamp in Web Development",Ruby,"Developing increasingly complex web applications based on current industry standards."
3267,"AOAC 2-90, Fort Knox, KY",,
4804,"Apeejay School",,
6209,"Apeejay School","1992 - 2006","1992 - 2006"
5833,"Apeejay School, Nerul","Class X","Class X"
5832,"Apeejay School, Nerul","Class XII","Computer Science"
5856,"Apeejay Stya Education (Svran Foundation)","High School","High School"
217,"App Academy","2017 - 2018","2017 - 2018"
1018,"App Academy","2019 - 2019","2019 - 2019"
756,"App Academy","2020 - 2020","2020 - 2020"
3030,"App Academy","Computer Science","Computer Science"
175,"App Academy","Computer Software Engineering","Computer Software Engineering"
1259,"App Academy","Full Stack Web Development","Full Stack Web Development"
655,"App Academy","Immersive Full-Stack Web Development","Immersive Full-Stack Web Development"
383,"App Academy","Software Engineer","Software Engineer"
846,"App Academy","Software Engineering","Software Engineering"
783,"App Academy Open – Full stack web development ","Full Stack Web Development","Full Stack Web Development"
3927,AppIQ,Certificate,"AppIQ Deployment and Management"
3413,"Apple Computers Inc. - Apple Campus, Cupertino, CA","Mac OS X Certification","Mac OS X Administration Basics and Server Essentials"
6541,Aptech,"One Year eACCP Diploma",Computer
4698,"Aquincum Institute of Technology","2016 - 2016","2016 - 2016"
1727,"Aquincum Institute of Technology","Computer Science","Computer Science"
2132,"Aquincum Institute of Technology (AIT)","Mathematics and Computer Science","Mathematics and Computer Science"
2243,"Aquincum Institute of Technology, Hungary","Computer Science","Computer Science"
4974,"Arab American University","Bachelor's Degree","Computer System Engineering"
3508,"Arabbank Hub - ITJ",pass,"Swift Allince Administration"
2510,"Aragon High School","High School Diploma","High School Diploma"
360,"Arcada University of Applied Sciences","Bachelor's degree","International Business"
2741,"Ardenne High School","2008 - 2015","2008 - 2015"
3159,"Aristotle University of Thessaloniki (AUTH)","Bachelor's degree","Electrical and Computer Engineering"
3158,"Aristotle University of Thessaloniki (AUTH)","Master’s Degree","Electrical and Computer Engineering"
6012,"Arizona State University",,
1097,"Arizona State University","Bachelor’s Degree","Computer Science"
3380,"Arizona State University",Business,Business
3356,"Arizona State University","Computer Information Systems/Technology Administration and Management","Computer Information Systems/Technology Administration and Management"
4352,"Arizona State University",Master,Chemistry
4044,"Arizona State University","Master of Computer Science",embedded
4441,"Arizona State University","Master of Computer Sciences","Database and Software Engineering"
7199,"Arizona State University","Master of Science - MS","Computer Science"
7269,"Arizona State University","Master of Science (M.S.)","Computer Science"
7003,"Arizona State University","Master of Science (MS)","Computer Science"
2771,"Arizona State University","Master's degree","Computer Science"
3163,"Arizona State University","Master's degree","Mechanical Engineering"
6917,"Arizona State University","Master’s Degree","Computer Software Engineering"
4440,"Arizona State University - W. P. Carey School of Business",MCS,"Computer Science"
1297,"Arlington High School","HS Diploma","General Studies"
2006,"Artesia High School","2011 - 2015","2011 - 2015"
1950,"ASA College","Associate's degree",General
6583,"Asher College",Certificate,"Microsoft Certificate"
6582,"Asher Coller","Network and Database Administration Program","Computer and Information Sciences and Support Services"
6969,"Ashesi University","Bachelor of Science","Computer Science"
482,"Asheville High School","2010 - 2014","2010 - 2014"
3221,"Ashland High School","High School Diploma","High School Diploma"
3291,"ashram public school","1994 - 2006","1994 - 2006"
4343,"Association of Talent Development","ASTD / ATD National Training Certificate Program","Learning and Development"
3377,"AT&T School of Business","Marketing (Colorado)","Marketing (Colorado)"
1047,"Atharva College of Engineering",Bachelor,"Computer Engineering"
3278,"Attleboro High School","High School Diploma",N/A
449,"Audio Recording Technology Institute","Audio Engineering","Audio Engineering"
4883,"Augustana University (SD)","Bachelor of Arts - BA","Business Administration with a minor in Data Science"
5080,"Aurora Engineering college","Bachelor's degree","Electronics and Communications Engineering"
7335,"Auroras Engineering College","Bachelor's degree","Electrical and Electronics Engineering"
