id,position,company_name
2654," ",curbFlow
2655," ",Fathhome
14435," 2019 APAC Women Techmakers Scholar",Google
9150," BSS Development Manager ","Cable & Wireless Communications"
9493," Designer, Adobe Expert (Freelance)","Indiana University Health"
18191," eLearning Developer","University of Washington Advancement Services, Information Management"
14105," Founder in Residence","launch house"
1477," Front End Engineer","Magg Designs LLC"
1125," Full Stack Web Development Student","The Flatiron School"
1874," Intern, Company Partnerships",Company
3023," Introduction to Programming in C","Columbia University in the City of New York"
15077," Manager - Enterprise Data Warehouse and BI","Primary Health Care Corporation"
16601," Microsoft Student Partner",Microsoft
18914," Software Design Engineer in Test, Intern",Microsoft
9823," Software Engineer 2",Intel
5141," Software Engineering Intern",PayPal
1969," Student Member at Mathematics and Computer Science Hiring Committee ","Hobart and William Smith Colleges"
14943," UAR & EAR Team Manager - SOX Compliance & Automation ",Microsoft
19204," Volunteer Facilitator","Social Action organizations"
17628,".Net Application developer","Credit Suisse"
13534,".Net Architect - Associate Technical Manager",iSOFT
11376,".NET Consultant","Bureau Of Automotive Repair, State of CA"
12491,".NET Consultant (Customer Facing/.NET/SQL/Claims)","Intercare Insurance Solutions"
10261,".NET Developer","AMIGOS SOFTWARE SOLUTIONS PRIVATE LIMITED"
16781,".NET Developer","ARI / Mondo"
19710,".Net Developer","Banque Saudi Fransi"
13008,".NET Developer",BNYM
15310,".NET Developer","Computron Software"
13928,".NET DEVELOPER","DATAMAN USA"
20872,".NET Developer",DevelopEx
20855,".NET Developer","GlobalLogic Ukraine"
16314,".Net Developer",LinkNet
20924,".Net Developer","Media Systems"
18507,".NET Developer",Microsoft
20856,".NET Developer","NCube Ltd"
18997,".Net Developer","Office Gemini"
762,".Net Developer",Procurestaff
18485,".Net Developer","State of Colorado - Office of Information Technology"
11368,".NET Developer","StratEdge (Client: WA State Dept.of Patrol )"
11367,".NET Developer","StratEdge Inc (Client: Canon USA)"
13096,".NET Developer",TechWheel
19032,".Net Developer",TEKsystems
20635,".Net Developer","The Cohen International Group [TCIG]"
17527,".Net Developer","The Guardian Life Insurance Company of America"
18996,".Net Developer","WG Consulting, LLC"
20899,".NET Developer - Application Support","GryphTech Inc"
17741,".Net Developer (Contractor)","NAF Funding, New York, NY"
1703,".NET Developer (Full Stack)","MediMatrix NY"
17740,".Net Developer / Team Lead (Contractor)","Continuing Education Services, Inc."
12486,".NET Developer & Integration Consultant – Sophus Consulting (CALPERS) - Remote","Sophus Consulting"
20039,".Net Developer Intern","Harris Associates"
17971,".Net Developer(Consultant)","AAA Club Alliance"
17969,".NET Developer(Consultant)",AT&T
9228,".NET Development Team Lead",LIFELONG
20853,".NET Engineer",Ciklum
10260,".NET Full Stack Developer","COUTH INFOTECH PRIVATE LIMITED"
10259,".Net Full Stack Developer","Silicon Valley Bank"
10258,".NET Full Stack Developer","Thomson Reuters"
20996,".NET Instructor","Coder Camps"
18071,".Net Instructor","Mercury Systems Inc"
19011,".Net Master’s Training Program","SetFocus, LLC"
19028,".NET Programmer","Computer Task Group"
10526,".Net Programmer Consultant Visual C#.Net / ASP.Net 2005","Magsaysay Maritime Corporation"
4735,".NET Senior Software Engineer - Tech Lead",Tecbeats
14697,".NET Senior Web Developer","Punt Immobiliari (Freelance)"
14695,".NET Software Architect (by Auseba)","Abantia T-Cuento Retail Intelligence"
4737,".Net Software Designer",Globant
17168,".Net Solution Architect","Zaio Corporation(TSX -V:ZAO) Calgary ,Canada"
17967,".Net System Analyst(Consultant)",Allergan
10166,".NET Trainer","PinkRoccade Finance"
11371,".NET UI Developer","StratEdge Inc ( Client: Trafinity)"
19801,".Net Web Applications Developer","Public Disclosure Commission"
13921,".NET/DB/UI/SDLC Developer","Geneva Client: DoS"
4561,""[Super] Smash [Bros] Friday" Founder/Organizer","Penn State University"
17403,"(Co) Host of Team building Business Game Events","Cre8te Digital"
5747,"(Developer) Employee #1",PlaywithAthena
