id,skill,category
2605," Agile Methodologies","Industry Knowledge"
2157," Algorithms","Industry Knowledge"
6328," Cascading Style Sheets (CSS)","Tools & Technologies"
6191," Corporate Recruiting","Other Skills"
2100," internet applications","Industry Knowledge"
2844," Large-scale Data Analysis","Other Skills"
3381," Oracle","Tools & Technologies"
2159," React.js","Tools & Technologies"
6190," Social Recruiting","Other Skills"
6175," Strategic Planning","Industry Knowledge"
386,.NET,"Tools & Technologies"
3786,".NET CLR","Other Skills"
2151,".NET Compact Framework","Other Skills"
352,".NET Core","Tools & Technologies"
353,".NET Framework","Tools & Technologies"
2073,".NET Remoting","Other Skills"
3022,"• C programming","Tools & Technologies"
2870,"• Fluent in Arabic and English.",Languages
3633,"21st Century Skills","Other Skills"
4046,"2D Animation","Other Skills"
3444,"2D graphics","Other Skills"
5142,"2D to 3D Conversion","Other Skills"
6485,2G,"Industry Knowledge"
3521,3D,"Industry Knowledge"
1369,"3D GIS","Other Skills"
1957,"3D Graphics","Industry Knowledge"
5869,"3D Math","Other Skills"
1735,"3D Modeling","Industry Knowledge"
2459,"3D Modeling Software","Other Skills"
905,"3D Printing","Industry Knowledge"
1741,"3D Prototyping","Other Skills"
3648,"3D Reconstruction","Other Skills"
4304,"3D Studio Max","Tools & Technologies"
3378,"3D visualization","Industry Knowledge"
4201,3DEqualizer,"Other Skills"
2457,"3DS Max","Tools & Technologies"
5938,3G,"Industry Knowledge"
4565,3GPP,"Other Skills"
5045,"4-color Process","Other Skills"
4563,4G,"Industry Knowledge"
5982,"6502 Assembly","Other Skills"
5953,"8051 Microcontroller","Other Skills"
1193,"A/B Testing","Other Skills"
2289,"A+ Certified","Industry Knowledge"
528,"Ab Initio","Other Skills"
1847,ABAP,"Tools & Technologies"
1860,"ABAP Web Dynpro","Other Skills"
1858,ABAP-OO,"Other Skills"
1930,Abaqus,"Tools & Technologies"
2983,Abend-Aid,"Other Skills"
1739,"Ableton Live","Other Skills"
4058,"Academic Publishing","Other Skills"
3475,"Academic Tutoring","Interpersonal Skills"
1420,"Academic Writing","Industry Knowledge"
5685,Academies,"Other Skills"
4471,ACCA,"Other Skills"
2141,"Acceptance Testing","Other Skills"
1119,Access,"Tools & Technologies"
